,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,PROP_FREIGHT,CHARTER_PAX,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,OP_EXPENSES,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER,Unnamed: 18
473,-28991.47,-17455.41,0.0,0.0,123000.76,56507.46,0.0,338441.8,167850.66,75865.51,9911.91,45015.13,355897.2,5Y,Atlas Air Inc.,I,2020,1,
474,-25184.62,-52482.74,342657.57,0.0,0.0,0.0,1971.14,697828.22,361841.35,48611.65,47857.06,67643.41,750310.96,NK,Spirit Air Lines,D,2020,1,
475,-24451.26,-58316.49,59917.8,0.0,0.0,0.0,0.0,59917.8,66510.9,26229.64,12410.0,305.58,118234.28,9E,Endeavor Air Inc.,D,2020,2,
476,-22091.27,-36109.29,27217.04,0.0,0.0,0.0,0.0,27217.04,24320.84,13347.33,3393.13,2526.09,63326.32,EV,ExpressJet Airlines LLC,D,2020,3,
477,-21908.94,-21141.93,176361.41,0.0,0.0,0.0,0.0,176361.41,83128.36,74534.49,21101.47,927.63,197503.34,9E,Endeavor Air Inc.,D,2020,1,
478,-21590.09,-21590.09,86.04,8.01,5011.79,905.53,0.0,6011.38,17729.82,3313.11,157.42,1387.52,27601.47,HA,Hawaiian Airlines Inc.,P,2020,3,
479,-21355.0,-42079.0,15531.0,0.0,0.0,215.0,0.0,17699.0,13789.0,5570.0,3480.0,6808.0,59778.0,AS,Alaska Airlines Inc.,L,2020,3,
480,-16632.0,-20484.0,75893.0,0.0,-228.0,369.0,0.0,82965.0,39196.0,10917.0,11044.0,16835.0,103448.0,AS,Alaska Airlines Inc.,L,2020,1,
481,-16147.51,-14600.83,62908.27,0.0,0.0,0.0,2.56,62910.83,22242.54,41799.75,3909.45,3561.63,77511.66,G7,GoJet Airlines LLC d/b/a United Express,D,2020,1,
482,-15038.89,-15038.89,1179459.67,5484.41,28830.53,0.0,30993.45,1447293.7,490186.7,186198.8,128273.69,165569.69,1462332.58,AA,American Airlines Inc.,L,2020,1,
