"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
2020,5,21161,"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,2,508,29,537,523,
2020,5,21352,"0WQ","Avjet Corporation","0WQ","Avjet Corporation",1,1,144,0,144,144,
2020,5,21492,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",1,1,166,0,166,166,
2020,5,21518,"1EQ","KaiserAir, Inc.","1EQ","KaiserAir, Inc.",1,4,39,29,68,54,
2020,5,21577,"1TQ","Rhoades Aviation dba Transair","1TQ","Rhoades Aviation dba Transair",1,1,137,34,171,154,
2020,5,21652,"27Q","Jet Aviation Flight Services, Inc.","27Q","Jet Aviation Flight Services, Inc.",1,1,605,0,605,605,
2020,5,21712,"2HQ","Elite Airways LLC","2HQ","Elite Airways LLC",2,2,54,11,65,60,
2020,5,21754,"2PQ","21 Air LLC","2PQ","21 Air LLC",1,4,68,0,68,68,
2020,5,21854,"34Q","Polaris Aviation Solutions, LLC","34Q","Polaris Aviation Solutions, LLC",1,4,27,15,42,35,
2020,5,21875,"37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC","37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,4,44,1,45,45,
2020,5,21974,"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1,1,84,0,84,84,
2020,5,20401,"3M","Silver Airways","3M","Silver Airways",1,1,649,58,707,678,
2020,5,20408,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",1,1,278,55,333,306,
2020,5,19917,"5X","United Parcel Service","5X","United Parcel Service",3,3,6161,123,6284,6223,
2020,5,20007,"5Y","Atlas Air Inc.","5Y","Atlas Air Inc.",3,3,3163,6,3169,3166,
2020,5,19874,"8C","Air Transport International","8C","Air Transport International",2,2,853,0,853,853,
2020,5,20363,"9E","Endeavor Air Inc.","9E","Endeavor Air Inc.",2,2,3262,22,3284,3273,
2020,5,20190,"9S","Southern Air Inc.","9S","Southern Air Inc.",2,2,464,0,464,464,
2020,5,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.",3,3,96062,11284,107346,101704,
2020,5,20453,"ABX","ABX Air Inc","ABX","ABX Air Inc",2,2,465,7,472,469,
